timestamp,Tair_C,RH_p,Tinternal_C,T100_C,T50_C,T25_C,T10_C,T5_C,T0_C,T5s_C,T10s_C,T25s_C,T50s_C
11/30/23 16:23,-1.5,55.8,2.94,-0.63,0.81,5.5,0.25,-0.25,-0.5,0,0.38,0.56,1.44
11/30/23 16:24,-1.5,55.8,3.25,-0.69,0.88,4.88,0.19,-0.25,-0.5,0.06,0.38,0.56,1.44
11/30/23 16:24,-1.4,55.9,3,-0.63,1.13,3.88,0.06,-0.31,-0.5,0.06,0.38,0.56,1.44
11/30/23 16:26,-0.9,55.1,5.25,0.56,1.19,0.69,0.19,0.25,0.25,0.5,0.38,0.56,1.5
11/30/23 16:28,-0.6,56.2,6.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/30/23 16:31,-0.1,54.5,9.31,0.13,0.19,0.31,0.56,1,1.13,1.56,0.38,0.56,1.63
11/30/23 16:32,0,53.5,9.25,1.88,0.25,0.81,0.69,1,1,1.38,0.38,0.63,1.63
11/30/23 16:34,0,53.9,11.25,2.25,0.25,0.69,1.13,1.19,1.06,1.31,0.38,0.63,1.63
11/30/23 16:38,0,53.9,9.19,1.13,0.5,0.56,1.13,1.38,1.25,1.38,0.38,0.63,1.69
11/30/23 16:42,-0.2,53.9,8.81,0.75,0.19,0.5,0.88,1,1,1.25,0.38,0.63,1.75
11/30/23 16:46,-0.2,53.9,8.69,0.44,0.5,0.94,1.38,1.5,1.44,1.81,0.44,0.63,1.81
11/30/23 16:50,0,53.4,8.69,0.44,0.31,0.56,0.88,1,0.94,1.63,0.44,0.69,1.88
11/30/23 16:54,0,53.4,8.63,0.75,0.75,0.56,0.69,1,0.94,1.19,0.38,0.75,1.94
11/30/23 16:58,-0.2,54.1,8.69,0.63,0.19,0.25,0.44,0.69,0.75,1.25,0.38,0.75,1.94
11/30/23 17:03,-0.2,54.1,8.69,0.25,0.13,-0.06,0.06,0.19,0.31,0.75,0.31,0.75,2
11/30/23 17:07,0.2,53,8.69,0.75,0.31,0.38,0.56,0.75,0.81,1.19,0.38,0.75,2.06
11/30/23 17:11,0.2,53,8.75,0.75,0.44,0.44,0.88,1.25,1.38,1.75,0.44,0.75,2.13
11/30/23 17:15,0.6,53.6,8.75,1.44,1.56,1.13,1.56,1.88,1.81,2.38,0.5,0.81,2.19
11/30/23 17:19,0.6,53.6,8.88,1.75,1.25,1.5,1.69,2.06,2.06,2.31,0.5,0.81,2.19
11/30/23 17:23,0.8,52.5,8.94,1.13,1.13,1.13,1.25,1.38,1.31,1.5,0.56,0.81,2.25
11/30/23 17:27,0.8,52.5,9,0.81,0.69,0.69,0.94,1.13,1.06,1.31,0.44,0.81,2.31
11/30/23 17:31,1.2,52,8.94,0.63,0.56,0.5,0.63,0.69,0.75,1,0.44,0.81,2.38
11/30/23 17:35,1.2,52,8.88,0.5,0.44,0.38,0.38,0.44,0.5,0.81,0.44,0.81,2.38
11/30/23 17:39,0.8,53.9,8.75,0.75,0.69,0.63,0.69,0.75,0.75,0.94,0.38,0.88,2.38
11/30/23 17:43,0.8,53.9,8.63,2.25,1.75,1.44,1.5,1.63,1.63,1.75,0.5,0.88,2.44
11/30/23 17:47,0.6,54,8.5,1.38,1.31,1.13,1.19,1.31,1.38,1.56,0.5,0.88,2.5
11/30/23 17:51,0.6,54,8.38,1.5,1.44,1.19,1.25,1.38,1.44,1.69,0.5,0.88,2.5
11/30/23 17:55,1.3,54.3,8.38,1.38,1.25,1.06,1.19,1.38,1.44,1.69,0.5,0.88,2.56
11/30/23 17:59,1.3,54.3,8.38,1.38,1.19,1,1.06,1.19,1.25,1.44,0.5,0.88,2.56
11/30/23 18:03,1.5,51.7,8.38,1.25,1.31,1.38,1.56,1.88,1.88,2.13,0.56,0.94,2.56
11/30/23 18:07,1.5,51.7,8.31,1.63,1.69,1.69,1.88,2.13,2.13,2.38,0.56,0.94,2.63
11/30/23 18:11,1.6,52,8.31,1.81,2.25,2.06,2.13,2.25,2.25,2.44,0.63,0.94,2.69
11/30/23 18:15,1.6,52,8.31,1.44,1.56,1.5,1.56,1.75,1.88,2.31,0.63,0.94,2.69
11/30/23 18:19,2,52.1,8.31,1.56,1.63,1.81,2.06,2.44,2.56,2.94,0.69,0.94,2.69
11/30/23 18:23,2,52.1,8.31,1.25,1.38,1.31,1.38,1.63,1.69,2,0.69,0.94,2.75
11/30/23 18:27,1.6,52.8,8.25,1.06,0.94,0.81,0.81,0.81,0.88,1.19,0.63,0.94,2.81
11/30/23 18:31,1.6,52.8,8.19,0.75,0.69,0.56,0.5,0.5,0.56,0.81,0.56,0.94,2.81
11/30/23 18:35,1.2,52.5,8.06,0.56,0.5,0.5,0.5,0.63,0.81,1.25,0.56,0.94,2.81
11/30/23 18:39,1.2,52.5,7.94,0.38,0.38,0.25,0.25,0.31,0.44,0.75,0.56,1,2.88
11/30/23 18:46,0,55.2,3.5,0.19,0.06,-0.13,-0.13,-0.13,0,0.31,0.5,1,2.88
11/30/23 18:50,0,55.2,3.94,0.38,0.38,0.31,0.25,0.25,0.31,0.56,0.5,1,2.94
11/30/23 18:54,0,55.1,4.44,0.69,0.69,0.5,0.44,0.56,0.63,0.75,0.5,1,2.94
11/30/23 18:58,0,55.1,4.75,0.94,1,0.75,0.75,0.88,1,1.13,0.56,1,2.94
11/30/23 19:02,0.4,54.5,5,1.63,1.56,1.31,1.38,1.5,1.5,1.63,0.63,1,3
11/30/23 19:06,0.4,54.5,5.19,2.75,2.19,2,2.19,2.38,2.38,2.25,0.69,1.06,3
11/30/23 19:10,1.5,53.4,5.5,3.06,2.69,2.13,2.5,2.88,2.94,2.88,0.75,1,3
11/30/23 19:14,1.5,53.4,5.75,2.63,2.94,2.81,3.06,3.38,3.44,3.63,0.88,1,3
11/30/23 19:18,3.5,50.1,6,1.75,1.75,1.56,1.75,1.81,1.88,2.31,0.88,1.06,3.06
11/30/23 19:22,3.5,50.1,6.13,2.13,2.06,1.75,1.63,1.75,1.75,2,0.81,1.06,3.06
11/30/23 19:26,3,50,6.25,1.75,1.63,1.5,1.44,1.38,1.38,1.44,0.75,1.06,3.06
11/30/23 19:30,3,50,6.38,2,1.75,1.56,1.44,1.38,1.5,1.38,0.75,1.06,3.13
11/30/23 19:34,2.4,52,6.44,2.13,2.25,2,2.06,2.19,2.19,2,0.81,1.06,3.13
11/30/23 19:38,2.4,52,6.5,2.63,2.88,3.06,3,3,3.06,2.75,0.88,1.06,3.13
11/30/23 19:42,2.4,51.8,6.56,2.56,2.63,2.5,2.75,3,3,2.63,0.94,1.06,3.13
11/30/23 19:46,2.4,51.8,6.69,2.75,2.56,2.69,2.38,2.06,1.88,1.75,0.88,1.06,3.19
11/30/23 19:50,2.9,51.3,6.75,2.81,2.31,1.88,1.75,1.69,2,2.25,0.88,1.06,3.19
11/30/23 19:54,2.9,51.3,6.81,1.56,1.5,1.25,1.31,1.44,1.5,1.5,0.88,1.06,3.19
11/30/23 19:58,3.1,51,6.88,1.63,1.75,1.75,1.81,1.75,1.63,1.69,0.88,1.13,3.19
11/30/23 20:02,3.1,51,6.88,1.38,1.5,1.31,1.25,1.19,1.25,1.31,0.81,1.13,3.19
11/30/23 20:06,2.3,52.1,6.81,1.38,1.44,1.13,1.06,1,1.06,1.13,0.81,1.13,3.25
11/30/23 20:10,2.3,52.1,6.75,1.63,1.69,1.38,1.19,1.06,1.06,1.13,0.81,1.13,3.25
11/30/23 20:14,1.4,54.4,6.69,1.5,1.44,1.31,1.38,1.5,1.63,1.69,0.81,1.13,3.31
11/30/23 20:18,1.4,54.4,6.63,2.06,1.75,1.38,1.25,1.19,1.25,1.31,0.81,1.13,3.31
11/30/23 20:22,1.5,53.5,6.56,1.63,1.44,1.31,1.31,1.25,1.31,1.44,0.81,1.13,3.31
11/30/23 20:27,1.5,53.5,6.56,1.5,1.44,1.31,1.31,1.38,1.63,1.88,0.88,1.13,3.31
11/30/23 20:31,1.7,53.9,6.5,1.63,1.81,1.63,1.63,1.69,1.94,2.25,0.88,1.13,3.38
11/30/23 20:35,1.7,53.9,6.38,1.38,1.38,1.19,1.25,1.25,1.38,1.63,0.88,1.13,3.38
11/30/23 20:39,1.9,53.7,6.31,0.88,0.75,0.56,0.5,0.44,0.56,0.94,0.81,1.13,3.38
11/30/23 20:43,1.9,53.7,6.13,0.63,0.5,0.31,0.25,0.25,0.38,0.69,0.81,1.13,3.38
11/30/23 20:47,1.2,54.2,6,0.5,0.31,0,-0.06,-0.06,0,0.5,0.75,1.13,3.38
11/30/23 20:51,1.2,54.2,5.81,0.38,0.06,-0.19,-0.25,-0.38,-0.25,0.19,0.75,1.19,3.38
11/30/23 20:55,0.5,57.1,5.69,0.25,-0.06,-0.31,-0.38,-0.5,-0.38,0.06,0.69,1.19,3.44
11/30/23 20:59,0.5,57.1,5.5,0.06,-0.31,-0.63,-0.75,-0.81,-0.69,-0.19,0.63,1.19,3.44
11/30/23 21:03,-0.1,58.4,5.25,0,-0.38,-0.75,-0.88,-0.94,-0.81,-0.19,0.63,1.19,3.44
11/30/23 21:07,-0.1,58.4,5,-0.06,-0.44,-0.88,-0.94,-1.06,-0.88,-0.19,0.63,1.19,3.44
11/30/23 21:11,-0.5,59.5,4.81,-0.31,-0.63,-1,-1.06,-1.19,-1,-0.25,0.56,1.19,3.44
11/30/23 21:15,-0.5,59.5,4.56,-0.38,-0.75,-1.06,-1.13,-1.19,-1,-0.25,0.56,1.25,3.44
11/30/23 21:19,-0.7,60.8,4.38,-0.31,-0.63,-1,-1.19,-1.31,-1.06,-0.25,0.56,1.25,3.44
11/30/23 21:23,-0.7,60.8,4.19,-0.38,-0.75,-1.06,-1.25,-1.31,-1.06,-0.31,0.56,1.19,3.44
11/30/23 21:27,-0.9,61.8,3.94,-0.56,-0.81,-1.19,-1.25,-1.38,-1.19,-0.31,0.5,1.25,3.5
11/30/23 21:31,-0.9,61.8,3.75,-0.44,-0.81,-1.19,-1.31,-1.38,-1.19,-0.31,0.5,1.25,3.5
11/30/23 21:35,-1,62.7,3.56,-0.13,-0.56,-1,-1.25,-1.31,-1.13,-0.31,0.56,1.25,3.5
11/30/23 21:39,-1,62.7,3.38,-0.5,-0.75,-1.13,-1.31,-1.38,-1.19,-0.31,0.5,1.25,3.5
11/30/23 21:43,-1,62,3.25,-0.81,-1.06,-1.38,-1.44,-1.5,-1.31,-0.38,0.56,1.25,3.5
11/30/23 21:47,-1,62,3.06,-0.81,-1.13,-1.44,-1.5,-1.63,-1.38,-0.38,0.5,1.25,3.5
11/30/23 21:51,-1.3,63.7,2.88,-0.81,-1.19,-1.44,-1.5,-1.56,-1.38,-0.44,0.56,1.25,3.56
11/30/23 21:55,-1.3,63.7,2.75,-0.75,-1.13,-1.5,-1.63,-1.69,-1.44,-0.44,0.5,1.25,3.56
11/30/23 21:59,-1.3,64.2,2.56,-0.5,-0.88,-1.31,-1.44,-1.56,-1.31,-0.38,0.56,1.25,3.56
11/30/23 22:03,-1.3,64.2,2.44,-0.56,-0.94,-1.31,-1.44,-1.56,-1.31,-0.44,0.56,1.31,3.63
11/30/23 22:07,-1.2,63.2,2.31,-0.5,-0.94,-1.31,-1.44,-1.56,-1.31,-0.44,0.56,1.31,3.63
11/30/23 22:11,-1.2,63.2,2.25,-0.44,-0.81,-1.19,-1.44,-1.5,-1.25,-0.38,0.5,1.31,3.63
11/30/23 22:15,-1.2,63.2,2.13,-0.56,-0.88,-1.25,-1.44,-1.5,-1.31,-0.44,0.56,1.31,3.63
11/30/23 22:19,-1.2,63.2,2.06,-0.75,-1.06,-1.44,-1.56,-1.63,-1.44,-0.44,0.56,1.31,3.63
11/30/23 22:23,-1.1,63,1.94,-0.63,-1,-1.38,-1.56,-1.63,-1.44,-0.44,0.56,1.31,3.63
11/30/23 22:27,-1.1,63,1.81,-0.38,-0.75,-1.13,-1.31,-1.44,-1.25,-0.44,0.56,1.31,3.63
11/30/23 22:31,-1.3,62.7,1.75,-0.56,-0.94,-1.31,-1.5,-1.56,-1.38,-0.44,0.56,1.31,3.63
11/30/23 22:35,-1.3,62.7,1.69,-0.56,-0.94,-1.31,-1.44,-1.56,-1.38,-0.44,0.56,1.31,3.63
11/30/23 22:39,-1,62.6,1.63,-0.38,-0.75,-1.19,-1.38,-1.5,-1.25,-0.44,0.56,1.31,3.63
11/30/23 22:43,-1,62.6,1.56,-0.31,-0.75,-1.19,-1.38,-1.5,-1.31,-0.44,0.56,1.31,3.69
11/30/23 22:47,-1,61.9,1.5,-0.63,-1,-1.38,-1.5,-1.63,-1.44,-0.5,0.56,1.31,3.69
11/30/23 22:51,-1,61.9,1.38,-0.5,-0.94,-1.44,-1.63,-1.69,-1.5,-0.5,0.56,1.31,3.69
11/30/23 22:56,-1,62.1,1.31,-0.63,-1.06,-1.5,-1.69,-1.81,-1.56,-0.56,0.56,1.31,3.69
11/30/23 23:00,-1,62.1,1.25,-0.44,-0.88,-1.25,-1.5,-1.63,-1.38,-0.5,0.56,1.31,3.69
11/30/23 23:04,-1.1,61.9,1.25,-0.56,-0.94,-1.38,-1.63,-1.69,-1.44,-0.5,0.56,1.31,3.69
11/30/23 23:08,-1.1,61.9,1.19,-0.63,-1,-1.38,-1.63,-1.69,-1.5,-0.56,0.56,1.38,3.69
11/30/23 23:12,-1.1,61.8,1.13,-0.81,-1.19,-1.56,-1.69,-1.75,-1.5,-0.56,0.56,1.31,3.69
11/30/23 23:16,-1.1,61.8,1.06,-0.81,-1.13,-1.5,-1.63,-1.75,-1.5,-0.56,0.56,1.38,3.69
11/30/23 23:20,-1.3,62.5,1,-1.06,-1.38,-1.69,-1.81,-1.88,-1.69,-0.63,0.56,1.38,3.69
11/30/23 23:24,-1.3,62.5,0.94,-1.13,-1.5,-1.81,-2,-2.06,-1.81,-0.63,0.56,1.38,3.69
11/30/23 23:28,-1.4,63.7,0.88,-1.13,-1.5,-1.88,-2,-2.06,-1.81,-0.69,0.56,1.38,3.69
11/30/23 23:32,-1.4,63.7,0.81,-1.13,-1.56,-1.88,-2,-2.06,-1.81,-0.69,0.56,1.38,3.69
11/30/23 23:36,-1.6,63.9,0.75,-1.31,-1.69,-2.06,-2.19,-2.19,-1.94,-0.75,0.56,1.38,3.69
11/30/23 23:40,-1.6,63.9,0.69,-1.13,-1.56,-2,-2.19,-2.19,-1.94,-0.75,0.56,1.38,3.69
11/30/23 23:44,-1.8,64.3,0.63,-0.88,-1.31,-1.69,-1.88,-2,-1.75,-0.63,0.56,1.38,3.69
11/30/23 23:48,-1.8,64.3,0.56,-0.94,-1.38,-1.75,-2,-2.06,-1.75,-0.69,0.56,1.38,3.69
11/30/23 23:52,-1.6,63.4,0.5,-1.13,-1.5,-1.88,-2,-2.06,-1.81,-0.69,0.56,1.38,3.69
11/30/23 23:56,-1.6,63.4,0.5,-1.38,-1.75,-2.06,-2.19,-2.25,-1.94,-0.75,0.56,1.38,3.69
12/1/23 0:00,-1.6,63.5,0.44,-1.31,-1.63,-2,-2.19,-2.25,-1.94,-0.75,0.56,1.44,3.69
12/1/23 0:04,-1.6,63.5,0.38,-1,-1.44,-1.81,-2,-2.13,-1.81,-0.81,0.56,1.38,3.69
12/1/23 0:08,-2,64.8,0.38,-1.06,-1.38,-1.81,-2,-2.06,-1.81,-0.69,0.56,1.44,3.75
12/1/23 0:12,-2,64.8,0.31,-1.19,-1.38,-1.69,-1.81,-1.88,-1.63,-0.63,0.56,1.38,3.75
12/1/23 0:16,-1.7,64,0.25,-1.25,-1.5,-1.81,-1.94,-2.06,-1.75,-0.69,0.56,1.44,3.69
12/1/23 0:20,-1.7,64,0.25,-1.19,-1.5,-1.81,-1.94,-2,-1.75,-0.69,0.56,1.44,3.69
12/1/23 0:24,-1.8,65.1,0.25,-1.31,-1.56,-1.88,-1.94,-2,-1.75,-0.69,0.56,1.44,3.69
12/1/23 0:28,-1.8,65.1,0.19,-1,-1.38,-1.63,-1.75,-1.81,-1.56,-0.63,0.56,1.44,3.75
12/1/23 0:32,-1.9,64.7,0.19,-1,-1.38,-1.69,-1.88,-1.94,-1.69,-0.69,0.56,1.44,3.75
12/1/23 0:36,-1.9,64.7,0.13,-1,-1.38,-1.75,-1.94,-2.06,-1.81,-0.75,0.56,1.44,3.75
12/1/23 0:40,-1.6,63.8,0.13,-0.94,-1.44,-1.81,-2,-2.13,-1.88,-0.75,0.56,1.44,3.75
12/1/23 0:44,-1.6,63.8,0.06,-0.94,-1.19,-1.5,-1.69,-1.75,-1.56,-0.69,0.56,1.44,3.75
12/1/23 0:48,-1.5,63,0.06,-1.31,-1.56,-1.88,-2,-2.06,-1.75,-0.75,0.56,1.44,3.75
12/1/23 0:52,-1.5,63,0.06,-1.25,-1.56,-1.88,-1.94,-2,-1.75,-0.69,0.56,1.44,3.75
12/1/23 0:56,-1.8,64.4,0,-1.44,-1.75,-2,-2.13,-2.19,-1.88,-0.75,0.56,1.44,3.75
12/1/23 1:00,-1.8,64.4,0,-1.31,-1.63,-1.94,-2.13,-2.13,-1.88,-0.75,0.56,1.44,3.75
12/1/23 1:04,-2.1,66.3,-0.06,-1.25,-1.56,-1.94,-2,-2.13,-1.81,-0.75,0.56,1.44,3.75
12/1/23 1:08,-2.1,66.3,-0.06,-1.31,-1.63,-2,-2.13,-2.13,-1.88,-0.81,0.56,1.44,3.75
12/1/23 1:12,-2,65.5,-0.13,-1,-1.44,-1.75,-1.94,-2.06,-1.75,-0.75,0.56,1.44,3.75
12/1/23 1:16,-2,65.5,-0.13,-1.25,-1.69,-2.06,-2.19,-2.25,-2,-0.81,0.56,1.44,3.75
12/1/23 1:20,-1.9,64.1,-0.13,-1.63,-1.94,-2.19,-2.25,-2.31,-2.06,-0.88,0.56,1.44,3.75
12/1/23 1:24,-1.9,64.1,-0.19,-1.5,-1.88,-2.19,-2.31,-2.38,-2.06,-0.88,0.56,1.5,3.75
12/1/23 1:28,-2.1,65.9,-0.19,-1.75,-2.06,-2.38,-2.44,-2.5,-2.19,-0.94,0.56,1.44,3.75
12/1/23 1:32,-2.1,65.9,-0.25,-1.69,-2.06,-2.38,-2.44,-2.5,-2.25,-0.94,0.56,1.5,3.75
12/1/23 1:36,-2.3,66.4,-0.25,-1.75,-2.06,-2.44,-2.56,-2.63,-2.31,-1,0.56,1.5,3.75
12/1/23 1:40,-2.3,66.4,-0.31,-1.75,-2.06,-2.44,-2.56,-2.56,-2.25,-0.94,0.56,1.44,3.75
12/1/23 1:44,-2.4,66.8,-0.31,-1.81,-2.06,-2.38,-2.44,-2.5,-2.19,-1,0.56,1.5,3.75
12/1/23 1:48,-2.4,66.8,-0.31,-1.88,-2.25,-2.5,-2.56,-2.63,-2.31,-1,0.56,1.5,3.75
12/1/23 1:52,-2.4,66.9,-0.38,-1.88,-2.19,-2.56,-2.63,-2.69,-2.38,-1.06,0.56,1.5,3.75
12/1/23 1:56,-2.4,66.9,-0.44,-1.88,-2.19,-2.5,-2.56,-2.63,-2.31,-1.06,0.56,1.5,3.75
12/1/23 2:00,-2.6,67.6,-0.44,-1.81,-2.19,-2.5,-2.56,-2.63,-2.31,-1.06,0.56,1.5,3.75
12/1/23 2:04,-2.6,67.6,-0.5,-1.75,-2.13,-2.44,-2.56,-2.63,-2.31,-1.06,0.56,1.5,3.75
12/1/23 2:08,-2.6,67.8,-0.5,-1.81,-2.13,-2.5,-2.63,-2.63,-2.38,-1.06,0.56,1.5,3.75
12/1/23 2:12,-2.6,67.8,-0.56,-1.88,-2.19,-2.56,-2.63,-2.63,-2.38,-1.06,0.56,1.5,3.75
12/1/23 2:16,-2.4,66.5,-0.56,-2,-2.31,-2.63,-2.69,-2.75,-2.44,-1.06,0.56,1.5,3.75
12/1/23 2:20,-2.4,66.5,-0.63,-1.81,-2.13,-2.5,-2.63,-2.69,-2.38,-1.06,0.56,1.5,3.75
12/1/23 2:24,-2.5,67,-0.63,-1.88,-2.19,-2.56,-2.75,-2.75,-2.44,-1.13,0.56,1.5,3.75
12/1/23 2:29,-2.5,67,-0.69,-1.81,-2.13,-2.5,-2.56,-2.63,-2.38,-1.13,0.56,1.5,3.75
12/1/23 2:33,-2.5,66.7,-0.69,-1.5,-2,-2.44,-2.63,-2.69,-2.38,-1.13,0.56,1.5,3.75
12/1/23 2:37,-2.5,66.7,-0.69,-1.63,-2,-2.38,-2.63,-2.69,-2.38,-1.13,0.56,1.5,3.75
12/1/23 2:41,-2.4,65.5,-0.69,-1.75,-2.13,-2.5,-2.69,-2.69,-2.44,-1.13,0.56,1.5,3.75
12/1/23 2:45,-2.4,65.5,-0.69,-1.69,-2.06,-2.5,-2.63,-2.63,-2.38,-1.13,0.56,1.56,3.81
12/1/23 2:49,-2.3,65.6,-0.75,-1.81,-2.13,-2.44,-2.56,-2.63,-2.31,-1.13,0.56,1.5,3.81
12/1/23 2:53,-2.3,65.6,-0.75,-1.88,-2.25,-2.56,-2.63,-2.63,-2.38,-1.13,0.56,1.5,3.75
12/1/23 2:57,-2.4,66.2,-0.75,-1.75,-2.13,-2.44,-2.5,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:01,-2.4,66.2,-0.75,-1.69,-2.06,-2.44,-2.5,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:05,-2.5,66.7,-0.75,-1.75,-2.06,-2.44,-2.56,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:09,-2.5,66.7,-0.75,-1.69,-2,-2.38,-2.5,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:13,-2.4,66.3,-0.81,-1.63,-1.94,-2.31,-2.44,-2.5,-2.19,-1.06,0.56,1.56,3.81
12/1/23 3:17,-2.4,66.3,-0.81,-1.63,-2,-2.31,-2.5,-2.5,-2.25,-1.13,0.56,1.56,3.81
12/1/23 3:21,-2.2,65.9,-0.81,-1.5,-1.88,-2.19,-2.44,-2.5,-2.19,-1.06,0.56,1.56,3.81
12/1/23 3:25,-2.2,65.9,-0.81,-1.69,-2,-2.38,-2.5,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:29,-2.2,65.8,-0.81,-1.81,-2.13,-2.44,-2.5,-2.56,-2.31,-1.13,0.56,1.56,3.81
12/1/23 3:33,-2.2,65.8,-0.75,-1.69,-2,-2.38,-2.5,-2.56,-2.25,-1.13,0.56,1.56,3.81
12/1/23 3:37,-2.4,66.6,-0.81,-1.63,-1.94,-2.25,-2.31,-2.38,-2.13,-1.06,0.56,1.56,3.81
12/1/23 3:41,-2.4,66.6,-0.81,-1.44,-1.81,-2.19,-2.31,-2.38,-2.13,-1.06,0.56,1.56,3.81
12/1/23 3:45,-2.3,66.8,-0.81,-1.63,-1.94,-2.25,-2.38,-2.44,-2.13,-1.06,0.56,1.56,3.81
12/1/23 3:49,-2.3,66.8,-0.81,-1.5,-1.94,-2.25,-2.38,-2.44,-2.19,-1.06,0.56,1.56,3.81
12/1/23 3:53,-2.2,66.3,-0.75,-1.44,-1.81,-2.13,-2.25,-2.31,-2,-1,0.56,1.56,3.81
12/1/23 3:57,-2.2,66.3,-0.75,-1.5,-1.88,-2.19,-2.31,-2.38,-2.13,-1.06,0.56,1.56,3.81
12/1/23 4:01,-2.1,65.6,-0.75,-1.31,-1.69,-2.06,-2.19,-2.25,-2,-1.06,0.56,1.56,3.81
12/1/23 4:05,-2.1,65.6,-0.75,-1.44,-1.81,-2.13,-2.25,-2.31,-2.06,-1.06,0.56,1.56,3.81
12/1/23 4:09,-2.1,65.7,-0.75,-1.31,-1.69,-2,-2.19,-2.25,-2,-1,0.56,1.56,3.81
12/1/23 4:13,-2.1,65.7,-0.75,-1.38,-1.69,-2.06,-2.19,-2.31,-2,-1.06,0.56,1.63,3.81
12/1/23 4:17,-2.1,66.1,-0.75,-1.25,-1.56,-1.94,-2,-2.13,-1.88,-0.94,0.56,1.56,3.81
12/1/23 4:21,-2.1,66.1,-0.69,-1.31,-1.63,-1.94,-2,-2.13,-1.88,-0.94,0.56,1.56,3.81
12/1/23 4:25,-1.9,65.9,-0.75,-1.25,-1.56,-1.94,-2.06,-2.13,-1.88,-0.94,0.56,1.63,3.81
12/1/23 4:29,-1.9,65.9,-0.69,-1.19,-1.56,-1.88,-2,-2.06,-1.81,-0.94,0.56,1.63,3.81
12/1/23 4:33,-2,66.5,-0.69,-1.13,-1.5,-1.81,-1.94,-2.06,-1.81,-0.94,0.56,1.63,3.81
12/1/23 4:37,-2,66.5,-0.69,-0.94,-1.25,-1.56,-1.69,-1.75,-1.56,-0.81,0.56,1.63,3.81
12/1/23 4:41,-1.9,67.4,-0.63,-1.13,-1.38,-1.69,-1.81,-1.88,-1.63,-0.81,0.56,1.63,3.81
12/1/23 4:45,-1.9,67.4,-0.63,-1.06,-1.38,-1.63,-1.75,-1.81,-1.63,-0.88,0.56,1.63,3.81
12/1/23 4:49,-1.7,67.9,-0.63,-0.88,-1.13,-1.5,-1.63,-1.75,-1.56,-0.81,0.63,1.56,3.81
12/1/23 4:53,-1.7,67.9,-0.63,-0.88,-1.25,-1.63,-1.69,-1.75,-1.56,-0.81,0.56,1.63,3.81
