timestamp,Tair_C,RH_p,distance_m,Tinternal_C,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name
11/17/23 20:39,7.4,70,1.231894969,10.75,7.69,7.56,7.44,7.56,7.06,6.81,6.88,6.75,6.19,5.94,A4
11/17/23 20:43,7.4,70,1.230048302,10.63,7.5,7.44,7.38,7.19,6.88,6.69,6.75,6.69,6.06,6,A4
11/17/23 20:47,7.2,70.2,1.233469619,10.56,7.56,7.44,7.31,7.94,6.88,6.63,6.69,6.63,6.13,5.94,A4
11/17/23 20:51,7.2,70.2,1.229609782,10.44,7.38,7.31,7.25,7.38,6.75,6.5,6.56,6.63,6.06,6,A4
11/17/23 20:55,7.1,71.2,1.233417401,10.38,7.19,7.13,7.19,7.75,6.63,6.38,6.5,6.5,6.06,5.94,A4
11/17/23 20:59,7.1,71.2,1.233752979,10.25,7.25,7.19,7.19,6.94,6.56,6.38,6.38,6.44,6.06,6,A4
11/17/23 21:03,6.9,71.3,1.233144938,10.13,7.19,7.13,7.19,7.75,6.56,6.31,6.38,6.38,6.13,6,A4
11/17/23 21:07,6.9,71.3,1.236667251,10.06,7.13,7.06,7,6.88,6.5,6.25,6.31,6.38,6.13,6,A4
11/17/23 21:11,6.8,72.5,1.233427851,9.94,7.19,7.13,7.13,7.63,6.5,6.31,6.38,6.31,6.13,6,A4
11/17/23 21:15,6.8,72.5,1.229235371,9.81,7.13,7,7,6.94,6.44,6.19,6.25,6.25,6.13,6,A4
11/17/23 21:20,6.7,72.8,1.233542876,9.75,7,6.88,6.94,7.69,6.25,6.06,6.13,6.19,6.13,5.94,A4
11/17/23 21:24,6.7,72.8,1.229854152,9.63,6.94,6.88,6.81,7.5,6.25,6,6.06,6.13,6.13,5.94,A4
11/17/23 21:28,6.6,73.2,1.232484266,9.56,7.06,6.94,6.88,6.75,6.31,6.13,6.13,6.13,6.13,6,A4
11/17/23 21:32,6.6,73.2,1.232987184,9.44,7.06,6.94,7,6.88,6.31,6.06,6.19,6.13,6.13,6,A4
11/17/23 21:36,6.5,73.9,1.228744167,9.38,7.13,7,7,7.56,6.31,6.06,6.13,6.06,6.13,6,A4
11/17/23 21:40,6.5,73.9,1.233269619,9.25,7,6.94,7,7.06,6.38,6.13,6.19,6.13,6.13,6,A4
11/17/23 21:44,6.5,74.3,1.232599182,9.19,6.81,6.75,6.75,7.56,6.19,6,6,6.06,6.13,6,A4
11/17/23 21:48,6.5,74.3,1.228073729,9.13,7.13,7,7,6.88,6.44,6.19,6.19,6.06,6.13,6,A4
11/17/23 21:52,6.5,74.6,1.228073729,9.06,7.25,7.13,7.13,6.94,6.44,6.25,6.19,6.06,6.13,6,A4
11/17/23 21:56,6.5,74.6,1.232096354,9,7.31,7.19,7.19,7.94,6.56,6.31,6.25,6.06,6.13,6,A4
11/17/23 22:00,6.5,75.1,1.232934401,8.94,6.94,6.88,6.88,7.44,6.25,6.06,6.06,6,6.13,6,A4
11/17/23 22:04,6.5,75.1,1.228744167,8.88,6.88,6.75,6.75,7.56,6.13,5.94,5.94,5.94,6.13,6,A4
11/17/23 22:08,6.6,74.8,1.228125644,8.88,7.13,7,7,7.5,6.31,6.06,6.06,5.94,6.13,6,A4
11/17/23 22:12,6.6,74.8,1.232148987,8.75,7.56,7.44,7.25,7.63,6.69,6.44,6.38,6.06,6.13,6,A4
11/17/23 22:16,6.5,75.7,1.23042026,8.75,7.56,7.44,7.31,7.19,6.75,6.5,6.44,6.06,6.19,6,A4
11/17/23 22:21,6.5,75.7,1.228576557,8.75,7.44,7.31,7.38,7.44,6.69,6.44,6.38,6,6.13,6,A4
11/17/23 22:25,6.8,75.1,1.228564574,8.75,7.31,7.19,7.25,8.06,6.56,6.38,6.31,6.06,6.13,6,A4
11/17/23 22:29,6.8,75.1,1.229067671,8.69,7.31,7.19,7.19,8.06,6.63,6.38,6.31,6,6.13,6,A4
11/17/23 22:33,6.9,75.2,1.23280948,8.69,7.38,7.25,7.25,7.06,6.63,6.38,6.31,6,6.13,6,A4
11/17/23 22:37,6.9,75.2,1.228616251,8.63,7.5,7.38,7.31,7.63,6.69,6.44,6.38,6,6.13,6,A4
11/17/23 22:41,6.8,75.8,1.227558378,8.63,7.69,7.56,7.31,8.25,6.88,6.63,6.5,6.06,6.31,6,A4
11/17/23 22:45,6.8,75.8,1.224875191,8.63,8,7.75,7.5,7.88,7.13,6.81,6.75,6.13,6.38,6,A4
11/17/23 22:49,7,76,1.226654719,8.63,7.88,7.75,7.56,8.94,7.19,6.94,6.88,6.19,6.38,6,A4
11/17/23 22:53,7,76,1.230848697,8.63,8.13,8.06,7.88,8.44,7.5,7.25,7.06,6.25,6.38,6,A4
11/17/23 22:57,7.2,75.7,1.227260316,8.63,8.44,8.38,8.19,9.13,7.81,7.5,7.31,6.38,6.31,6,A4
11/17/23 23:01,7.2,75.7,1.231287972,8.69,8.44,8.44,8.25,8.44,7.88,7.63,7.44,6.44,6.31,6,A4
11/17/23 23:05,7.6,75.7,1.227967586,8.69,8.38,8.38,8.13,8.5,7.88,7.63,7.44,6.5,6.38,6,A4
11/17/23 23:09,7.6,75.7,1.228135524,8.69,8.31,8.25,8,8.25,7.75,7.56,7.44,6.5,6.31,6,A4
11/17/23 23:13,7.8,75.4,1.224876928,8.75,7.81,7.88,7.5,7.81,7.38,7.13,7.19,6.5,6.31,6,A4
11/17/23 23:17,7.8,75.4,1.247556723,8.75,7.63,7.69,7.5,7.56,7.25,7,7.06,6.5,6.13,6.06,A4
11/17/23 23:22,7.8,77.9,1.254276662,8.75,7.44,7.5,7.38,8.88,7.19,7,7,6.5,6.19,6.06,A4
11/17/23 23:26,7.8,77.9,1.284012393,8.75,7.44,7.5,7.5,8.81,7.13,7,7.06,6.5,6.13,6,A4
11/17/23 23:30,7.5,81,1.27828941,8.75,7.38,7.44,7.5,7.38,7.13,7,7,6.5,6.13,6.06,A4
11/17/23 23:34,7.5,81,1.276778231,8.75,6.94,7,7.25,7.63,6.75,6.63,6.75,6.44,6.13,6,A4
11/17/23 23:38,7.2,83.2,1.275256549,8.69,7,7.13,7.25,7.88,6.88,6.69,6.81,6.44,6.13,6,A4
11/17/23 23:42,7.2,83.2,1.278780748,8.69,7.19,7.25,7.31,8.25,6.94,6.81,6.88,6.5,6.06,6.06,A4
11/17/23 23:46,6.7,84.7,1.273951172,8.63,7.19,7.25,7.38,7.75,6.94,6.81,6.88,6.5,6.13,6.06,A4
11/17/23 23:50,6.7,84.7,1.266238385,8.63,7.13,7.19,7.31,7.19,6.94,6.75,6.88,6.5,6.13,6.06,A4
11/17/23 23:54,6.7,85.6,1.273280495,8.63,7.13,7.19,7.13,8.25,6.88,6.75,6.81,6.5,6.19,6,A4
11/17/23 23:58,6.7,85.6,1.25802259,8.56,7.13,7.19,7.06,7.25,6.88,6.75,6.81,6.44,6.38,6.06,A4
11/18/23 0:02,6.7,86,1.25114815,8.56,6.88,6.94,7.13,8.13,6.75,6.56,6.69,6.44,6.13,6.06,A4
11/18/23 0:06,6.7,86,1.242094009,8.56,6.94,7,7.13,7.44,6.69,6.56,6.69,6.44,6.13,6.06,A4
11/18/23 0:10,6.6,85.9,1.242039707,8.5,7.06,7.13,7.25,7.38,6.75,6.63,6.69,6.44,6.06,6.06,A4
11/18/23 0:14,6.6,85.9,1.232987184,8.44,7.25,7.25,7.44,7.19,6.94,6.81,6.88,6.5,6.13,6.06,A4
11/18/23 0:18,6.5,86.4,1.244499446,8.5,7.31,7.44,7.25,8.5,7.06,6.94,7,6.56,6.31,6.06,A4
11/18/23 0:23,6.5,86.4,1.245337493,8.44,7.19,7.25,7.38,7.25,6.94,6.81,6.88,6.5,6.13,6.06,A4
11/18/23 0:27,6.8,86.4,1.240974317,8.44,7.38,7.38,7.25,7.63,7,6.81,6.94,6.5,6.19,6.06,A4
11/18/23 0:31,6.8,86.4,1.242148211,8.44,7.38,7.44,7.25,8.38,7.06,6.88,7,6.5,6.25,6.06,A4
11/18/23 0:35,6.9,85.6,1.242370043,8.44,7.19,7.25,7.25,8.19,6.94,6.75,6.88,6.5,6.13,6.06,A4
11/18/23 0:39,6.9,85.6,1.241866856,8.44,7.25,7.25,7.38,7.88,6.94,6.75,6.88,6.5,6.06,6.06,A4
11/18/23 0:43,6.9,85.3,1.242537773,8.44,7.06,7.13,7,8.19,6.88,6.69,6.81,6.5,6.19,6.06,A4
11/18/23 0:47,6.9,85.3,1.241531398,8.44,7.19,7.25,7.13,7.25,6.94,6.81,6.88,6.5,6.25,6.06,A4
11/18/23 0:51,6.8,85.7,1.242651309,8.38,7.06,7.13,7.25,7.38,6.88,6.75,6.81,6.5,6.06,6.06,A4
11/18/23 0:55,6.8,85.7,1.241980512,8.38,7.25,7.31,7.13,8.19,7,6.81,6.88,6.5,6.25,6.06,A4
11/18/23 0:59,6.7,86.2,1.244944387,8.38,7.25,7.31,7.19,7.31,7,6.81,6.94,6.56,6.19,6.06,A4
11/18/23 1:03,6.7,86.2,1.242261678,8.38,7.13,7.25,7.25,7.81,6.94,6.81,6.88,6.56,6.13,6.06,A4
11/18/23 1:07,6.8,86.5,1.246172993,8.38,7.38,7.38,7.25,8.5,7.06,6.88,7,6.56,6.31,6.06,A4
11/18/23 1:11,6.8,86.5,1.237620332,8.38,7.38,7.38,7.25,8.19,7.06,6.88,6.94,6.56,6.38,6.06,A4
11/18/23 1:15,6.8,86.5,1.241142016,8.31,7.25,7.31,7.19,7.31,7,6.81,6.94,6.56,6.25,6.06,A4
11/18/23 1:19,6.8,86.5,1.236278738,8.38,7.38,7.44,7.31,8.56,7.06,6.88,7,6.56,6.25,6.06,A4
11/18/23 1:24,6.9,86.1,1.24102821,8.38,7.25,7.31,7.38,7.31,7,6.81,6.94,6.56,6.06,6.06,A4
11/18/23 1:28,6.9,86.1,1.240357293,8.31,7.5,7.5,7.44,7.44,7.13,6.94,7,6.56,6.13,6.06,A4
11/18/23 1:32,6.9,85.9,1.248576023,8.31,7.63,7.63,7.44,7.5,7.19,7.06,7.13,6.63,6.31,6.06,A4
11/18/23 1:36,6.9,85.9,1.249414669,8.38,7.75,7.75,7.5,8.94,7.25,7.13,7.19,6.69,6.31,6.06,A4
11/18/23 1:40,7,85.7,1.24175304,8.38,7.75,7.75,7.56,8.13,7.38,7.25,7.25,6.69,6.31,6.06,A4
11/18/23 1:44,7,85.7,1.296610274,8.38,7.63,7.69,7.56,7.63,7.38,7.19,7.25,6.75,6.31,6.06,A4
11/18/23 1:48,7.3,84.9,1.248628141,8.38,7.63,7.69,7.56,8.06,7.38,7.25,7.31,6.75,6.31,6.06,A4
11/18/23 1:52,7.3,84.9,1.245103314,8.44,7.63,7.63,7.5,7.56,7.31,7.19,7.25,6.75,6.31,6.13,A4
11/18/23 1:56,7.4,85.1,1.241128306,8.44,7.56,7.63,7.5,7.75,7.31,7.19,7.25,6.75,6.31,6.13,A4
11/18/23 2:00,7.4,85.1,1.237099214,8.44,7.63,7.69,7.56,7.75,7.44,7.25,7.31,6.75,6.38,6.06,A4
11/18/23 2:04,7.3,85.7,1.237046565,8.44,7.69,7.75,7.63,8.88,7.44,7.25,7.31,6.75,6.31,6.06,A4
11/18/23 2:08,7.3,85.7,1.232178947,8.44,7.81,7.88,7.75,8.63,7.56,7.38,7.44,6.81,6.31,6.13,A4
11/18/23 2:12,7.3,86.1,1.228989817,8.44,7.69,7.81,7.63,7.75,7.44,7.31,7.38,6.81,6.31,6.06,A4
11/18/23 2:16,7.3,86.1,1.227479177,8.44,7.75,7.81,7.69,7.88,7.5,7.38,7.38,6.81,6.31,6.13,A4
11/18/23 2:21,7.4,86.2,1.224172543,8.5,7.94,8,7.88,8.31,7.69,7.5,7.56,6.88,6.31,6.13,A4
11/18/23 2:25,7.4,86.2,1.223165269,8.56,8,8.13,7.94,8.44,7.75,7.56,7.63,6.94,6.31,6.13,A4
11/18/23 2:29,7.5,86.3,1.224894423,8.56,7.88,7.94,7.75,8.13,7.63,7.44,7.5,6.88,6.25,6.13,A4
11/18/23 2:33,7.5,86.3,1.224558606,8.63,7.88,7.94,7.81,8.06,7.63,7.5,7.5,6.88,6.31,6.13,A4
11/18/23 2:37,7.6,86.1,1.225448506,8.56,7.88,7.94,7.75,8.13,7.56,7.44,7.5,6.94,6.31,6.13,A4
11/18/23 2:41,7.6,86.1,1.22360118,8.63,8,8.06,7.94,8.13,7.69,7.5,7.56,6.94,6.31,6.13,A4
11/18/23 2:45,7.5,86.4,1.223719062,8.63,7.94,8,7.88,8.13,7.69,7.56,7.56,6.94,6.25,6.13,A4
11/18/23 2:49,7.5,86.4,1.225230241,8.63,7.81,7.94,7.81,8.06,7.56,7.44,7.5,6.88,6.25,6.13,A4
11/18/23 2:53,7.6,86.6,1.229479034,8.63,7.88,8,7.81,8.38,7.63,7.44,7.44,6.88,6.31,6.13,A4
11/18/23 2:57,7.6,86.6,1.220914161,8.63,7.88,7.94,7.81,8.06,7.56,7.44,7.44,6.88,6.31,6.13,A4
11/18/23 3:01,7.5,86.8,1.228252598,8.69,7.88,7.94,7.75,7.94,7.56,7.44,7.44,6.88,6.38,6.13,A4
11/18/23 3:05,7.5,86.8,1.225230241,8.63,7.81,7.88,7.75,7.94,7.56,7.38,7.44,6.88,6.31,6.13,A4
11/18/23 3:09,7.5,87,1.225062332,8.63,7.81,7.88,7.75,8.25,7.5,7.38,7.44,6.88,6.31,6.13,A4
11/18/23 3:13,7.5,87,1.229763777,8.69,7.88,7.88,7.75,7.88,7.5,7.38,7.44,6.88,6.38,6.13,A4
11/18/23 3:17,7.4,87.2,1.225179816,8.69,7.88,7.94,7.81,8.06,7.56,7.44,7.44,6.88,6.31,6.13,A4
11/18/23 3:22,7.4,87.2,1.229712544,8.69,7.88,7.94,7.81,8.56,7.63,7.5,7.5,6.94,6.31,6.13,A4
11/18/23 3:26,7.4,87.5,1.225011937,8.69,7.88,7.94,7.81,8.88,7.63,7.5,7.5,6.94,6.38,6.13,A4
11/18/23 3:30,7.4,87.5,1.27403256,8.69,7.94,8,7.81,8.19,7.63,7.5,7.56,6.94,6.38,6.13,A4
11/18/23 3:34,7.4,87.6,1.233909516,8.69,7.88,7.94,7.88,8.06,7.63,7.5,7.56,6.94,6.31,6.13,A4
11/18/23 3:38,7.4,87.6,1.229544666,8.69,7.94,8,7.88,8.69,7.69,7.56,7.56,7,6.38,6.13,A4
11/18/23 3:42,7.4,87.7,1.249018612,8.75,7.88,8,7.88,8.06,7.69,7.56,7.56,7,6.31,6.13,A4
11/18/23 3:46,7.4,87.7,1.23760285,8.75,8,8.06,7.94,8.13,7.75,7.56,7.63,7,6.38,6.13,A4
11/18/23 3:50,7.4,87.8,1.240792548,8.75,7.94,8.06,7.94,8.19,7.75,7.63,7.63,7,6.38,6.13,A4
11/18/23 3:54,7.4,87.8,1.233573758,8.75,8,8.06,7.94,8.38,7.75,7.56,7.56,7,6.38,6.13,A4
11/18/23 3:58,7.5,87.9,1.233961496,8.75,8,8.06,7.94,8.94,7.75,7.63,7.63,7.06,6.38,6.13,A4
11/18/23 4:02,7.5,87.9,1.233121952,8.75,8.19,8.25,8.13,8.38,7.94,7.81,7.81,7.13,6.25,6.13,A4
11/18/23 4:06,7.5,88,1.237823398,8.75,8.06,8.19,8.06,9,7.88,7.75,7.75,7.13,6.31,6.13,A4
11/18/23 4:10,7.5,88,1.236815945,8.75,8.06,8.19,8.06,8.38,7.88,7.75,7.75,7.06,6.31,6.13,A4
11/18/23 4:14,7.6,88,1.237875967,8.81,8.19,8.25,8.13,8.94,8,7.81,7.88,7.13,6.38,6.13,A4
11/18/23 4:18,7.6,88,1.238211845,8.81,8.13,8.19,8.06,9.25,7.94,7.81,7.81,7.13,6.31,6.13,A4
11/18/23 4:23,7.6,88.1,1.238379783,8.81,8.13,8.19,8.06,8.5,7.94,7.75,7.81,7.13,6.38,6.13,A4
11/18/23 4:27,7.6,88.1,1.234181317,8.88,8.19,8.25,8.13,9.25,7.94,7.81,7.81,7.13,6.31,6.13,A4
11/18/23 4:31,7.6,88.1,1.234349255,8.88,8.13,8.25,8.13,8.81,7.94,7.81,7.81,7.13,6.38,6.13,A4
11/18/23 4:35,7.6,88.1,1.225952322,8.88,8.13,8.19,8.13,8.44,7.94,7.75,7.81,7.13,6.31,6.13,A4
11/18/23 4:39,7.6,88.2,1.228303463,8.88,8.19,8.25,8.19,8.38,8,7.88,7.88,7.13,6.38,6.13,A4
11/18/23 4:43,7.6,88.2,1.229143156,8.88,8.31,8.38,8.25,8.56,8.06,7.88,7.94,7.13,6.25,6.13,A4
11/18/23 4:47,7.6,88.3,1.228807279,8.94,8.25,8.38,8.25,8.44,8.06,7.88,7.88,7.06,6.19,6.13,A4
11/18/23 4:51,7.6,88.3,1.225448506,8.94,8.25,8.31,8.19,8.75,8,7.81,7.81,6.94,6.31,6.13,A4
11/18/23 4:55,7.8,88.3,1.229916882,8.94,8.25,8.38,8.25,8.56,8.06,7.88,7.88,6.94,6.31,6.13,A4
11/18/23 4:59,7.8,88.3,1.225884919,8.94,8.31,8.38,8.31,8.56,8.06,7.94,7.88,6.88,6.25,6.19,A4
11/18/23 5:03,7.8,88.4,1.224708929,8.94,8.25,8.38,8.25,9.06,8.13,7.94,7.88,7,6.25,6.13,A4
11/18/23 5:07,7.8,88.4,1.225212925,9,8.25,8.38,8.25,8.56,8.06,7.88,7.88,6.94,6.31,6.19,A4
11/18/23 5:11,7.8,88.4,1.225212925,9,8.31,8.38,8.25,8.5,8.06,7.94,7.94,7,6.31,6.13,A4
11/18/23 5:15,7.8,88.4,1.225548922,9,8.31,8.38,8.31,8.5,8.06,7.94,7.94,7,6.31,6.19,A4
11/18/23 5:19,7.7,88.4,1.225666732,9,8.25,8.31,8.25,8.5,8.06,7.88,7.88,7,6.38,6.19,A4
11/18/23 5:24,7.7,88.4,1.225162826,9.06,8.31,8.44,8.31,9.44,8.13,7.94,7.94,7,6.38,6.19,A4
11/18/23 5:28,7.7,88.4,1.22465892,9,8.31,8.38,8.25,9.44,8.06,7.94,7.94,7,6.38,6.19,A4
11/18/23 5:32,7.7,88.4,1.225498763,9.06,8.44,8.5,8.38,9.63,8.19,8,8,7.06,6.31,6.19,A4
11/18/23 5:36,7.8,88.5,1.224876928,9.06,8.5,8.56,8.5,8.75,8.25,8.13,8.06,7.06,6.25,6.19,A4
11/18/23 5:40,7.8,88.5,1.225212925,9.06,8.63,8.63,8.5,8.88,8.31,8.13,8.13,7.06,6.19,6.13,A4
11/18/23 5:44,7.8,88.5,1.22571692,9.13,8.38,8.5,8.38,8.75,8.19,8,8,7.06,6.25,6.19,A4
11/18/23 5:48,7.8,88.5,1.225884919,9.13,8.44,8.5,8.38,8.75,8.19,8.06,8.06,7.06,6.25,6.19,A4
11/18/23 5:52,7.9,88.6,1.22475884,9.13,8.5,8.56,8.44,8.88,8.25,8.06,8.06,7.13,6.31,6.19,A4
11/18/23 5:56,7.9,88.6,1.225935039,9.13,8.5,8.56,8.44,8.63,8.25,8.06,8.06,7.13,6.38,6.19,A4
11/18/23 6:00,8,88.6,1.2298504,9.13,8.63,8.69,8.56,9.63,8.31,8.13,8.13,7.13,6.25,6.19,A4
11/18/23 6:04,8,88.6,1.22598506,9.19,8.5,8.63,8.44,8.75,8.25,8.13,8.06,7.19,6.38,6.19,A4
11/18/23 6:08,8,88.6,1.224304478,9.19,8.75,8.81,8.69,8.94,8.44,8.25,8.25,7.19,6.25,6.19,A4
11/18/23 6:12,8,88.6,1.229010109,9.19,8.75,8.88,8.69,9.31,8.44,8.31,8.25,7.25,6.25,6.19,A4
11/18/23 6:16,8,88.7,1.229010109,9.25,8.88,8.94,8.75,9.06,8.56,8.38,8.31,7.25,6.19,6.19,A4
11/18/23 6:21,8,88.7,1.229514284,9.25,8.75,8.81,8.63,9.06,8.44,8.31,8.25,7.19,6.25,6.19,A4
11/18/23 6:25,8.2,88.7,1.230287758,9.25,8.69,8.75,8.56,9.06,8.38,8.25,8.13,7.19,6.25,6.19,A4
11/18/23 6:29,8.2,88.7,1.226084808,9.25,8.69,8.75,8.63,8.94,8.44,8.25,8.25,7.25,6.31,6.19,A4
11/18/23 6:33,8.2,88.7,1.229783404,9.31,8.69,8.75,8.63,9.5,8.44,8.25,8.19,7.25,6.25,6.19,A4
11/18/23 6:37,8.2,88.7,1.228942814,9.31,8.69,8.75,8.63,8.94,8.44,8.25,8.19,7.25,6.25,6.19,A4
11/18/23 6:41,8.1,88.7,1.225530719,9.31,8.69,8.69,8.56,9,8.38,8.25,8.19,7.25,6.31,6.19,A4
11/18/23 6:45,8.1,88.7,1.229228658,9.38,8.81,8.88,8.75,9,8.56,8.38,8.38,7.31,6.25,6.19,A4
11/18/23 6:49,8.1,88.7,1.22906057,9.38,8.75,8.81,8.69,8.94,8.5,8.38,8.31,7.31,6.25,6.19,A4
11/18/23 6:53,8.1,88.7,1.234103214,9.38,8.75,8.88,8.75,9.06,8.5,8.38,8.31,7.38,6.38,6.19,A4
11/18/23 6:57,8.2,88.8,1.234322591,9.38,8.75,8.81,8.63,8.94,8.5,8.31,8.31,7.38,6.31,6.19,A4
11/18/23 7:01,8.2,88.8,1.230287758,9.44,8.69,8.75,8.63,9.06,8.44,8.31,8.31,7.38,6.31,6.25,A4
11/18/23 7:05,8.2,88.8,1.225916689,9.44,8.69,8.75,8.63,9.69,8.44,8.31,8.25,7.38,6.25,6.25,A4
11/18/23 7:09,8.2,88.8,1.22843846,9.44,8.88,8.94,8.81,8.94,8.63,8.44,8.38,7.44,6.31,6.19,A4
11/18/23 7:13,8.1,88.8,1.229901011,9.44,8.63,8.75,8.63,9.06,8.44,8.31,8.31,7.38,6.38,6.19,A4
11/18/23 7:17,8.1,88.8,1.230237187,9.5,8.63,8.75,8.63,9.06,8.44,8.25,8.25,7.38,6.38,6.19,A4
11/18/23 7:22,8.2,88.8,1.230455876,9.44,8.69,8.75,8.63,9.06,8.44,8.31,8.25,7.31,6.31,6.19,A4
11/18/23 7:26,8.2,88.8,1.22927905,9.5,8.75,8.81,8.69,9.06,8.5,8.31,8.31,7.31,6.31,6.25,A4
11/18/23 7:30,8.1,88.8,1.232926597,9.5,8.75,8.88,8.69,9.19,8.56,8.38,8.31,7.31,6.25,6.19,A4
11/18/23 7:34,8.1,88.8,1.233430862,9.5,8.81,8.88,8.75,9.13,8.56,8.44,8.38,7.25,6.31,6.19,A4
11/18/23 7:38,8.2,88.9,1.26861867,9.5,8.88,8.94,8.81,9.75,8.56,8.38,8.38,7.38,6.31,6.25,A4
11/18/23 7:42,8.2,88.9,1.232977647,9.5,9.06,9.13,9.06,9.06,8.81,8.63,8.56,7.38,6.25,6.25,A4
11/18/23 7:46,8.2,88.9,1.232641411,9.56,8.75,8.88,8.75,8.94,8.63,8.44,8.44,7.25,6.31,6.19,A4
11/18/23 7:50,8.2,88.9,1.239198014,9.56,8.25,8.44,8.31,8.69,8.19,8.06,8.06,7.19,6.38,6.25,A4
11/18/23 7:54,8.3,88.9,1.235887112,9.56,7.75,7.94,7.81,8.13,7.69,7.56,7.69,7.13,6.56,6.25,A4
11/18/23 7:58,8.3,88.9,1.241435993,9.5,7.38,7.56,7.69,7.88,7.38,7.25,7.38,7,6.25,6.25,A4
11/18/23 8:02,7.5,88.7,1.266367887,9.44,7,7.13,7.13,7.13,7,6.88,7,6.88,6.38,6.25,A4
11/18/23 8:06,7.5,88.7,1.267711158,9.38,6.69,6.88,6.94,6.81,6.69,6.56,6.75,6.75,6.31,6.25,A4
11/18/23 8:10,6.7,88.5,1.270094778,9.31,6.44,6.56,6.75,6.81,6.44,6.31,6.56,6.69,6.25,6.25,A4
11/18/23 8:14,6.7,88.5,1.282334636,9.19,6.19,6.38,6.5,6.56,6.19,6.13,6.38,6.63,6.25,6.25,A4
11/18/23 8:18,6.1,88.3,1.278279401,9.13,6,6.13,6.25,7.38,6,5.94,6.19,6.5,6.25,6.25,A4
11/18/23 8:23,6.1,88.3,1.278111911,9,5.81,6,6,6,5.75,5.75,6,6.38,6.31,6.25,A4
11/18/23 8:27,5.7,87.9,1.23953807,8.88,5.56,5.75,5.63,5.75,5.56,5.5,5.81,6.31,6.25,6.25,A4
11/18/23 8:31,5.7,87.9,1.231504337,8.75,5.44,5.56,5.5,5.69,5.44,5.38,5.63,6.25,6.25,6.25,A4
11/18/23 8:35,5.3,87.4,1.234132983,8.63,5.25,5.44,5.31,5.5,5.25,5.19,5.5,6.13,6.25,6.25,A4
11/18/23 8:39,5.3,87.4,1.230955245,8.5,5.13,5.31,5.25,6.31,5.13,5.06,5.38,6.06,6.31,6.25,A4
11/18/23 8:43,4.9,87.3,1.230572167,8.38,5.06,5.25,5.19,6.31,5.13,5,5.38,6.06,6.31,6.25,A4
11/18/23 8:47,4.9,87.3,1.234750396,8.25,4.94,5.13,5.06,6.19,5,4.94,5.25,6,6.25,6.25,A4
11/18/23 8:51,4.6,87.5,1.230075168,8.13,4.94,5.13,5,5.19,5,4.88,5.25,5.94,6.31,6.25,A4
11/18/23 8:55,4.6,87.5,1.230075168,8,4.94,5.06,5,6.13,4.94,4.88,5.19,5.94,6.31,6.25,A4
11/18/23 8:59,4.5,87.5,1.229853713,7.88,4.88,5,4.94,5,4.88,4.81,5.13,5.88,6.31,6.25,A4
